data.HuGene.2_0.v1.091906_4905_Pool1_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool2_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool3_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool4_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool5_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool6_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool7_a.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_c.CEL
1665	336.857	360.762	308.476	333.048	229.571	296.048	276.095	246.048	368.286	306.476	298.238	294.857	279.952	287.81	248.571	261.238	306.095	286.476	236.524	320.524	404.238
1666	304	210.952	283.524	246.81	228.619	183.095	276.095	233.905	359.81	189.905	292.952	228.667	238.381	307.81	243	226.048	271.524	257.429	253	272.857	266.524
1667	136.714	160.571	76.8095	149.619	172.81	137.667	145.238	184.143	167.095	180.571	192.333	152.619	140.619	157.381	134.19	118.81	138.381	99	99.9524	126.238	133.762
1668	940.286	596.667	453.238	768.333	582.667	495.667	829.571	907.81	828.143	669.143	734.238	905.667	1079.62	764.714	556.333	531.476	585.19	651.333	522.667	694.905	943.19
1669	853.762	591.667	550.905	1003.95	546.286	501.571	1063.36	1010.38	691.571	663.905	574.905	1070.33	816.333	726.619	524.619	373.81	704.429	671.667	492.524	713.952	897.857
1670	355.19	278	269.857	244.19	266.857	156.714	387.095	393.19	369.333	223.143	322.714	262.048	260.476	165.19	240.81	161.762	241.048	289.667	282.476	248.762	473.571
1671	413.81	269.762	159.19	158.238	187.571	140.952	516.429	379.238	264.667	270.476	290.857	238.571	228.571	251.952	111	240.762	197.905	259.476	96.9048	374.905	364.571
1672	183.095	114.286	154.905	123.048	97.381	66.8571	288.524	157.238	197.619	131.667	77	117.19	113.429	126.476	97.1905	100	104.524	141.81	73.9048	271.381	276.095
1673	207.143	207.952	106.286	120.381	169.19	117.667	215.048	262.381	138.81	149.619	158.381	163.476	118	133.429	69.4762	109.429	101.095	127.524	99	286.81	318.762
1674	223.143	217.238	79.1429	135.81	121.905	129.429	365.333	206	183.381	213.143	203.857	215.952	147.667	176.238	157.333	158.238	108.19	171.048	88.0952	254.333	293.048
